book,chapter,rouge1_precision_facebook/bart-large-cnn,rouge1_recall_facebook/bart-large-cnn,rouge1_fmeasure_facebook/bart-large-cnn,rouge2_precision_facebook/bart-large-cnn,rouge2_recall_facebook/bart-large-cnn,rouge2_fmeasure_facebook/bart-large-cnn,rougeL_precision_facebook/bart-large-cnn,rougeL_recall_facebook/bart-large-cnn,rougeL_fmeasure_facebook/bart-large-cnn
9781908541277,ch_12,0.5352112676056338,0.2550335570469799,0.34545454545454546,0.2,0.0945945945945946,0.12844036697247707,0.352112676056338,0.16778523489932887,0.2272727272727273
9781910797907,chp6,0.6710526315789473,0.3893129770992366,0.49275362318840576,0.29333333333333333,0.16923076923076924,0.2146341463414634,0.4473684210526316,0.2595419847328244,0.32850241545893716
9781908541277,ch_8,0.13548387096774195,0.40384615384615385,0.2028985507246377,0.032467532467532464,0.09803921568627451,0.048780487804878044,0.07741935483870968,0.23076923076923078,0.11594202898550725
9781910797006,ch08,0.2765957446808511,0.29213483146067415,0.28415300546448086,0.06451612903225806,0.06818181818181818,0.06629834254143646,0.19148936170212766,0.20224719101123595,0.19672131147540983
9781910797105,ch06,0.38666666666666666,0.2815533980582524,0.3258426966292135,0.12162162162162163,0.08823529411764706,0.10227272727272729,0.29333333333333333,0.21359223300970873,0.24719101123595505
9783318068207,hh-5,0.6179775280898876,0.45081967213114754,0.5213270142180094,0.3409090909090909,0.24793388429752067,0.28708133971291866,0.47191011235955055,0.3442622950819672,0.3981042654028436
9781910797105,ch04,0.23809523809523808,0.28169014084507044,0.25806451612903225,0.03614457831325301,0.04285714285714286,0.0392156862745098,0.11904761904761904,0.14084507042253522,0.12903225806451613
9781910797006,ch03,0.5,0.28901734104046245,0.36630036630036633,0.16161616161616163,0.09302325581395349,0.11808118081180813,0.27,0.15606936416184972,0.19780219780219785
9781908541406,ch_6,0.31645569620253167,0.22321428571428573,0.2617801047120419,0.0641025641025641,0.04504504504504504,0.05291005291005291,0.189873417721519,0.13392857142857142,0.15706806282722516
9781908541277,ch_6,0.4852941176470588,0.358695652173913,0.4125,0.22388059701492538,0.16483516483516483,0.18987341772151897,0.25,0.18478260869565216,0.2125
9781910797815,chp3,0.6363636363636364,0.2832369942196532,0.39200000000000007,0.19736842105263158,0.0872093023255814,0.12096774193548389,0.33766233766233766,0.15028901734104047,0.208
9781910797310,chp3,0.13432835820895522,0.10588235294117647,0.11842105263157894,0.015151515151515152,0.011904761904761904,0.013333333333333334,0.05970149253731343,0.047058823529411764,0.05263157894736841
9781910797426,ch12,0.3595505617977528,0.36363636363636365,0.3615819209039548,0.125,0.12643678160919541,0.12571428571428572,0.23595505617977527,0.23863636363636365,0.23728813559322035
9781908541024,ch_13,0.26229508196721313,0.25806451612903225,0.26016260162601623,0.06666666666666667,0.06557377049180328,0.06611570247933884,0.14754098360655737,0.14516129032258066,0.14634146341463414
9781910797617,chp6,0.5,0.1807909604519774,0.26556016597510373,0.1746031746031746,0.0625,0.09205020920502092,0.34375,0.12429378531073447,0.1825726141078838
9781908541994,ch02,0.28125,0.32727272727272727,0.3025210084033613,0.12698412698412698,0.14814814814814814,0.13675213675213674,0.234375,0.2727272727272727,0.25210084033613445
9781910797471,ch05,0.3522727272727273,0.24603174603174602,0.2897196261682243,0.05747126436781609,0.04,0.04716981132075472,0.14772727272727273,0.10317460317460317,0.12149532710280374
9781910797105,ch08,0.29850746268656714,0.273972602739726,0.2857142857142857,0.045454545454545456,0.041666666666666664,0.043478260869565216,0.1791044776119403,0.1643835616438356,0.17142857142857143
9781912776207,ch4,0.31343283582089554,0.35,0.3307086614173228,0.07575757575757576,0.0847457627118644,0.08,0.13432835820895522,0.15,0.14173228346456695
9781910797495,chp12,0.32954545454545453,0.32222222222222224,0.3258426966292135,0.06896551724137931,0.06741573033707865,0.06818181818181819,0.1590909090909091,0.15555555555555556,0.15730337078651688
9781912776726,ch2,0.4647887323943662,0.1875,0.2672064777327935,0.15714285714285714,0.06285714285714286,0.08979591836734693,0.22535211267605634,0.09090909090909091,0.12955465587044535
9781910797815,chp2,0.6153846153846154,0.2644628099173554,0.3699421965317919,0.29411764705882354,0.125,0.17543859649122806,0.4230769230769231,0.18181818181818182,0.254335260115607
9781910797433,ch05,0.4117647058823529,0.27450980392156865,0.32941176470588235,0.07462686567164178,0.04950495049504951,0.05952380952380952,0.29411764705882354,0.19607843137254902,0.23529411764705882
9781910797617,chp1,0.46808510638297873,0.26993865030674846,0.3424124513618677,0.17204301075268819,0.09876543209876543,0.12549019607843137,0.2872340425531915,0.1656441717791411,0.21011673151750973
9781908541963,chapter3,0.34375,0.3548387096774194,0.3492063492063492,0.20634920634920634,0.21311475409836064,0.20967741935483872,0.265625,0.27419354838709675,0.2698412698412698
9781908541796,chapter1,0.3972602739726027,0.23387096774193547,0.29441624365482233,0.1388888888888889,0.08130081300813008,0.10256410256410256,0.2876712328767123,0.1693548387096774,0.21319796954314718
9781908541963,chapter5,0.4457831325301205,0.4457831325301205,0.4457831325301205,0.17073170731707318,0.17073170731707318,0.17073170731707318,0.2289156626506024,0.2289156626506024,0.2289156626506024
9781910797907,chp2,0.54,0.36486486486486486,0.43548387096774194,0.2857142857142857,0.1917808219178082,0.22950819672131148,0.36,0.24324324324324326,0.2903225806451613
9781908541666,ch_13,0.3625,0.35365853658536583,0.3580246913580247,0.06329113924050633,0.06172839506172839,0.0625,0.1875,0.18292682926829268,0.1851851851851852
9781912776153,chp3,0.6825396825396826,0.24571428571428572,0.36134453781512604,0.3548387096774194,0.12643678160919541,0.1864406779661017,0.5396825396825397,0.19428571428571428,0.2857142857142857
9781908541468,ch_14,0.3902439024390244,0.2962962962962963,0.3368421052631579,0.09876543209876543,0.07476635514018691,0.08510638297872339,0.2073170731707317,0.1574074074074074,0.17894736842105263
9781910797662,ch09,0.3194444444444444,0.23232323232323232,0.2690058479532164,0.07042253521126761,0.05102040816326531,0.05917159763313609,0.2222222222222222,0.16161616161616163,0.1871345029239766
9781910797211,ch04,0.49122807017543857,0.3218390804597701,0.38888888888888884,0.16470588235294117,0.1076923076923077,0.13023255813953488,0.24561403508771928,0.16091954022988506,0.19444444444444442
9781908541727,ch03,0.39080459770114945,0.2463768115942029,0.3022222222222222,0.10465116279069768,0.06569343065693431,0.08071748878923768,0.26436781609195403,0.16666666666666666,0.20444444444444446
9783318068207,hh-8,0.22388059701492538,0.26785714285714285,0.24390243902439024,0.045454545454545456,0.05454545454545454,0.049586776859504134,0.13432835820895522,0.16071428571428573,0.14634146341463414
9781908541024,ch_12,0.4375,0.20588235294117646,0.28,0.09523809523809523,0.044444444444444446,0.06060606060606061,0.28125,0.1323529411764706,0.18000000000000002
9781910797105,ch05,0.25,0.19047619047619047,0.2162162162162162,0.0425531914893617,0.03225806451612903,0.03669724770642201,0.14583333333333334,0.1111111111111111,0.12612612612612614
9781908541420,ch_6,0.48214285714285715,0.46153846153846156,0.4716157205240175,0.23423423423423423,0.22413793103448276,0.2290748898678414,0.3482142857142857,0.3333333333333333,0.34061135371179035
9781908541680,ch_8,0.20253164556962025,0.3018867924528302,0.2424242424242424,0.038461538461538464,0.057692307692307696,0.04615384615384615,0.16455696202531644,0.24528301886792453,0.19696969696969696
9781910797457,chp8,0.35135135135135137,0.2468354430379747,0.2899628252788104,0.045454545454545456,0.03184713375796178,0.037453183520599245,0.13513513513513514,0.0949367088607595,0.11152416356877325
9781910797815,chp7,0.3387096774193548,0.29577464788732394,0.3157894736842105,0.11475409836065574,0.1,0.1068702290076336,0.22580645161290322,0.19718309859154928,0.21052631578947367
9783318066685,ch4,0.39655172413793105,0.27380952380952384,0.323943661971831,0.13043478260869565,0.08982035928143713,0.10638297872340426,0.23275862068965517,0.16071428571428573,0.19014084507042253
9781908541680,ch_4,0.3333333333333333,0.5,0.4,0.09836065573770492,0.14814814814814814,0.11822660098522167,0.2032520325203252,0.3048780487804878,0.24390243902439027
